subscription_id,user_id,plan,started_ts,cancelled_ts,mrr_usd
db8e1226,17,pro_annual,2025-06-13T18:46:00,2025-11-05T18:46:00,6.99
d33bf1c7,30,pro_annual,2025-06-23T15:36:00,2025-08-18T15:36:00,6.99
29feb084,35,pro_annual,2025-06-03T04:43:00,2025-07-16T04:43:00,6.99
6c02875c,41,plus_monthly,2025-06-04T22:59:00,,9.99
d417d135,47,plus_monthly,2025-06-09T21:32:00,2025-07-18T21:32:00,9.99
4c86b432,51,pro_annual,2025-06-17T13:22:00,,6.99
e7843f0e,60,plus_monthly,2025-06-06T19:53:00,,9.99
2a1c4e4b,70,plus_monthly,2025-06-12T11:01:00,2025-08-16T11:01:00,9.99
1efba79a,90,plus_monthly,2025-06-26T02:50:00,,9.99
81326d40,92,plus_monthly,2025-06-28T23:19:00,,9.99
ea91e674,95,plus_monthly,2025-06-12T09:41:00,,9.99
eb0de7c1,99,pro_annual,2025-06-12T22:40:00,2025-08-25T22:40:00,6.99
cb6e596a,113,pro_annual,2025-06-22T10:55:00,2025-11-05T10:55:00,6.99
fe3aeebd,118,plus_monthly,2025-06-29T08:46:00,,9.99
a708a592,120,pro_annual,2025-06-11T10:07:00,,6.99
3d3df0be,122,plus_monthly,2025-06-18T13:00:00,,9.99
4421c3cc,146,plus_monthly,2025-06-17T02:58:00,2025-10-30T02:58:00,9.99
0124e9f9,153,plus_monthly,2025-06-23T04:25:00,,9.99
378216ea,165,plus_monthly,2025-06-17T18:31:00,,9.99
25347f15,167,plus_monthly,2025-06-14T20:48:00,2025-09-11T20:48:00,9.99
4f285c5a,175,plus_monthly,2025-06-22T17:21:00,,9.99
4f0b3be8,177,plus_monthly,2025-06-24T20:22:00,,9.99
0f6908a3,199,plus_monthly,2025-06-21T00:57:00,,9.99
0661e4b7,201,plus_monthly,2025-06-18T06:14:00,,9.99
ef48c203,202,plus_monthly,2025-07-02T18:51:00,,9.99
90fa31ea,212,plus_monthly,2025-06-25T23:57:00,2025-09-07T23:57:00,9.99
887a8d5d,215,plus_monthly,2025-06-25T05:35:00,,9.99
0f840d8c,230,plus_monthly,2025-06-30T00:19:00,,9.99
b4859ecd,247,plus_monthly,2025-06-28T21:08:00,,9.99
b8e8ea63,253,plus_monthly,2025-06-19T03:17:00,2025-07-21T03:17:00,9.99
00134c13,261,plus_monthly,2025-07-03T08:57:00,,9.99
b48f1752,275,plus_monthly,2025-07-10T05:11:00,,9.99
ef276b2f,296,plus_monthly,2025-07-03T10:21:00,2025-07-23T10:21:00,9.99
32368c70,308,plus_monthly,2025-07-07T21:03:00,2025-09-11T21:03:00,9.99
6fdccec7,337,pro_annual,2025-06-27T06:18:00,,6.99
f52f738e,352,plus_monthly,2025-07-05T07:47:00,,9.99
f87aed5f,363,plus_monthly,2025-07-15T05:37:00,,9.99
029abae0,365,pro_annual,2025-07-15T04:02:00,,6.99
0d1ac7ea,366,plus_monthly,2025-06-30T20:08:00,,9.99
02973af1,373,plus_monthly,2025-07-12T18:06:00,,9.99
14de2013,378,plus_monthly,2025-07-11T19:28:00,,9.99
fa4164d9,381,plus_monthly,2025-07-15T04:06:00,,9.99
0f8c890e,385,pro_annual,2025-06-30T22:41:00,,6.99
cd3a5cd2,387,pro_annual,2025-07-07T18:06:00,,6.99
3efd3c9a,394,plus_monthly,2025-07-01T20:01:00,,9.99
eb401fe8,414,pro_annual,2025-07-13T12:28:00,2025-10-09T12:28:00,6.99
f8f8c8c9,421,plus_monthly,2025-07-02T13:27:00,2025-08-12T13:27:00,9.99
1d120bfb,435,plus_monthly,2025-07-03T12:49:00,2025-08-24T12:49:00,9.99
8644d324,439,plus_monthly,2025-07-04T20:23:00,,9.99
e0105ce3,441,plus_monthly,2025-07-05T17:26:00,2025-08-21T17:26:00,9.99
4ed514d5,442,plus_monthly,2025-07-04T00:18:00,,9.99
0ca97acc,462,plus_monthly,2025-07-08T15:18:00,,9.99
6d8a81b3,468,plus_monthly,2025-07-10T02:57:00,,9.99
e7a0b07c,471,plus_monthly,2025-07-19T18:28:00,,9.99
46c75d5d,483,plus_monthly,2025-07-12T18:21:00,,9.99
52b15d5f,495,plus_monthly,2025-07-08T19:25:00,,9.99
5f50e5a9,505,plus_monthly,2025-07-11T03:24:00,,9.99
360f681d,508,pro_annual,2025-07-16T04:24:00,,6.99
9444d05d,516,plus_monthly,2025-07-25T02:37:00,2025-10-21T02:37:00,9.99
cca48ebe,531,plus_monthly,2025-07-23T07:39:00,2025-11-06T07:39:00,9.99
4e56d9b7,539,plus_monthly,2025-07-13T23:26:00,,9.99
48f3e4f9,546,pro_annual,2025-07-28T01:59:00,,6.99
b48b269c,563,pro_annual,2025-07-23T23:31:00,,6.99
c75bb6d0,569,pro_annual,2025-07-24T13:58:00,,6.99
3a730f22,572,plus_monthly,2025-07-13T21:56:00,,9.99
3ddbdb40,578,plus_monthly,2025-07-11T10:14:00,,9.99
76e080a5,580,plus_monthly,2025-07-26T07:38:00,2025-08-26T07:38:00,9.99
da66effd,589,pro_annual,2025-07-26T09:04:00,2025-08-27T09:04:00,6.99
a68299b2,601,plus_monthly,2025-07-27T10:12:00,,9.99
453c2d7b,614,plus_monthly,2025-07-23T15:59:00,,9.99
eab3737a,618,plus_monthly,2025-07-12T00:26:00,2025-10-05T00:26:00,9.99
117433b5,624,plus_monthly,2025-08-02T07:39:00,,9.99
2a503c59,636,plus_monthly,2025-07-21T04:03:00,,9.99
b3365d7b,662,pro_annual,2025-08-02T02:55:00,,6.99
062cac0f,665,plus_monthly,2025-07-21T02:45:00,,9.99
a108cf39,673,plus_monthly,2025-08-04T23:34:00,2025-10-17T23:34:00,9.99
e55af06a,684,plus_monthly,2025-08-02T14:55:00,,9.99
f778eb75,691,pro_annual,2025-07-22T12:28:00,2025-11-11T12:28:00,6.99
c74a12a1,728,plus_monthly,2025-07-19T01:17:00,2025-09-27T01:17:00,9.99
6f7a8377,741,plus_monthly,2025-08-02T21:23:00,,9.99
68141388,752,pro_annual,2025-07-30T09:59:00,2025-11-22T09:59:00,6.99
536819f0,761,plus_monthly,2025-08-03T08:43:00,2025-10-19T08:43:00,9.99
8f5a7d4d,769,plus_monthly,2025-07-21T23:33:00,,9.99
cafafb75,772,pro_annual,2025-07-28T14:56:00,,6.99
083cf707,774,plus_monthly,2025-08-04T06:05:00,2025-10-21T06:05:00,9.99
e92b6bde,785,plus_monthly,2025-07-30T14:19:00,2025-11-11T14:19:00,9.99
70245491,796,plus_monthly,2025-08-06T04:21:00,,9.99
d2a92ed9,814,plus_monthly,2025-08-05T23:34:00,2025-10-09T23:34:00,9.99
1487f7c6,818,plus_monthly,2025-08-03T21:55:00,,9.99
b184f406,820,pro_annual,2025-08-03T09:54:00,,6.99
c3c5426d,833,pro_annual,2025-07-29T17:01:00,2025-11-03T17:01:00,6.99
3915ce08,834,plus_monthly,2025-07-26T08:10:00,,9.99
a655eb52,839,plus_monthly,2025-07-26T04:15:00,,9.99
dca8e5da,871,plus_monthly,2025-08-12T19:48:00,,9.99
c1c7a2be,872,plus_monthly,2025-07-30T10:32:00,2025-10-11T10:32:00,9.99
309b8ab3,879,plus_monthly,2025-07-29T06:56:00,,9.99
1a260780,880,plus_monthly,2025-08-04T17:00:00,2025-09-12T17:00:00,9.99
6e4a3047,897,plus_monthly,2025-08-17T10:19:00,,9.99
5b6f6e6e,903,pro_annual,2025-08-04T17:52:00,,6.99
0d75d30b,915,plus_monthly,2025-08-04T06:07:00,,9.99
927a13d2,922,pro_annual,2025-08-10T19:39:00,,6.99
b4848751,932,plus_monthly,2025-08-12T00:36:00,2025-09-03T00:36:00,9.99
fee850c1,938,plus_monthly,2025-08-05T22:47:00,,9.99
ba33cbbd,940,plus_monthly,2025-08-13T14:51:00,,9.99
ae871561,945,plus_monthly,2025-08-18T00:31:00,,9.99
e5deec4e,950,plus_monthly,2025-08-17T04:27:00,,9.99
5b595b4e,960,pro_annual,2025-08-14T06:59:00,,6.99
be88285f,965,plus_monthly,2025-08-15T12:45:00,2025-11-02T12:45:00,9.99
ee87ad2d,966,plus_monthly,2025-08-19T18:02:00,,9.99
fa0110f4,967,plus_monthly,2025-08-19T11:59:00,2025-09-09T11:59:00,9.99
758bc910,968,pro_annual,2025-08-11T15:02:00,,6.99
4f5f0411,986,pro_annual,2025-08-09T22:50:00,2025-09-04T22:50:00,6.99
33f63610,992,pro_annual,2025-08-04T18:48:00,,6.99
8fe866a0,997,plus_monthly,2025-08-12T17:55:00,2025-11-12T17:55:00,9.99
c7e9895e,1008,plus_monthly,2025-08-18T03:19:00,,9.99
8fa54b49,1010,pro_annual,2025-08-05T04:50:00,,6.99
46878613,1014,pro_annual,2025-08-06T22:29:00,,6.99
cde58661,1020,pro_annual,2025-08-14T20:06:00,2025-09-16T20:06:00,6.99
521ff7c0,1062,plus_monthly,2025-08-16T00:02:00,,9.99
e5c96483,1063,plus_monthly,2025-08-15T22:11:00,2025-09-21T22:11:00,9.99
a249ecc1,1065,pro_annual,2025-08-15T06:43:00,,6.99
1d3a7668,1069,plus_monthly,2025-08-14T19:25:00,,9.99
a670a429,1074,plus_monthly,2025-08-13T20:31:00,,9.99
54b214a2,1080,plus_monthly,2025-08-26T02:59:00,2025-11-01T02:59:00,9.99
ba0a9c6d,1081,plus_monthly,2025-08-25T18:54:00,2025-11-07T18:54:00,9.99
d9a0f70b,1089,plus_monthly,2025-08-08T17:32:00,2025-09-08T17:32:00,9.99
bd568988,1105,pro_annual,2025-08-19T05:48:00,,6.99
351cb2ce,1118,plus_monthly,2025-08-19T09:28:00,,9.99
b9b1899c,1129,pro_annual,2025-08-22T02:34:00,,6.99
bd9d9abe,1149,plus_monthly,2025-08-24T13:54:00,,9.99
5e07fe54,1161,plus_monthly,2025-08-28T09:40:00,,9.99
314d26dc,1164,plus_monthly,2025-08-18T20:16:00,,9.99
4b74c623,1169,plus_monthly,2025-08-21T15:24:00,2025-11-23T15:24:00,9.99
84e7a350,1171,plus_monthly,2025-08-22T01:09:00,2025-11-07T01:09:00,9.99
4f52a984,1183,plus_monthly,2025-08-27T14:02:00,,9.99
1a0097b7,1187,pro_annual,2025-08-27T03:26:00,,6.99
0844024f,1189,pro_annual,2025-08-19T08:13:00,,6.99
a64a5ad0,1197,plus_monthly,2025-08-14T20:39:00,,9.99
c4aae464,1219,plus_monthly,2025-08-25T22:20:00,,9.99
7dc8f182,1231,plus_monthly,2025-08-22T09:14:00,,9.99
aaaf3614,1232,plus_monthly,2025-08-18T01:29:00,,9.99
548bae1e,1235,plus_monthly,2025-08-29T15:15:00,,9.99
3d00c4e8,1243,pro_annual,2025-08-30T16:08:00,,6.99
94661a44,1250,plus_monthly,2025-08-22T05:07:00,,9.99
00edb80d,1264,plus_monthly,2025-09-03T12:18:00,,9.99
15e05457,1265,plus_monthly,2025-08-23T18:36:00,,9.99
303c59db,1276,plus_monthly,2025-08-24T02:41:00,2025-10-05T02:41:00,9.99
181667e6,1277,plus_monthly,2025-08-21T05:29:00,,9.99
e9fb4b78,1280,pro_annual,2025-08-17T04:39:00,,6.99
aa1e5664,1287,plus_monthly,2025-08-29T21:41:00,,9.99
992d5aad,1307,pro_annual,2025-08-23T19:16:00,,6.99
36238d20,1321,plus_monthly,2025-08-30T04:26:00,,9.99
03bd3959,1322,pro_annual,2025-09-03T07:41:00,,6.99
c98a25eb,1326,pro_annual,2025-08-30T18:49:00,,6.99
dd01a385,1346,pro_annual,2025-09-06T05:01:00,,6.99
aca991d6,1351,pro_annual,2025-09-09T13:26:00,,6.99
7ba93f25,1360,plus_monthly,2025-08-21T08:35:00,,9.99
dbf5f626,1365,plus_monthly,2025-09-09T10:02:00,,9.99
68ccde52,1367,pro_annual,2025-08-25T16:22:00,2025-10-30T16:22:00,6.99
0fb314e4,1376,plus_monthly,2025-09-02T11:06:00,,9.99
e794a85f,1379,plus_monthly,2025-09-02T05:23:00,,9.99
f14fd950,1402,plus_monthly,2025-09-09T16:38:00,,9.99
4fac6cb5,1409,pro_annual,2025-08-27T18:56:00,,6.99
7393c16b,1423,pro_annual,2025-08-25T06:50:00,,6.99
46b128db,1426,plus_monthly,2025-08-30T01:51:00,,9.99
01bc45cd,1430,plus_monthly,2025-09-04T20:27:00,,9.99
5996f6b6,1436,plus_monthly,2025-09-09T08:23:00,2025-10-01T08:23:00,9.99
b81eef3b,1453,plus_monthly,2025-08-27T06:57:00,,9.99
055116be,1456,pro_annual,2025-08-28T02:20:00,,6.99
727280e8,1461,pro_annual,2025-09-06T20:55:00,,6.99
be8ebdac,1464,plus_monthly,2025-08-25T09:03:00,2025-11-05T09:03:00,9.99
aa1d14c5,1472,plus_monthly,2025-09-10T22:52:00,,9.99
503f816c,1488,pro_annual,2025-09-03T21:04:00,,6.99
e9f8d9cc,1489,plus_monthly,2025-09-12T19:09:00,,9.99
6b99fffb,1503,plus_monthly,2025-09-16T19:06:00,,9.99
995930aa,1506,plus_monthly,2025-08-29T11:03:00,2025-11-08T11:03:00,9.99
f0cbf952,1511,plus_monthly,2025-09-11T00:23:00,,9.99
06d31353,1514,pro_annual,2025-09-13T15:09:00,,6.99
1c6738da,1518,pro_annual,2025-09-12T11:37:00,,6.99
14fca6c4,1522,pro_annual,2025-09-11T14:28:00,,6.99
ef3ce4e1,1530,plus_monthly,2025-09-06T07:41:00,,9.99
46cd56dc,1531,pro_annual,2025-09-03T01:27:00,,6.99
ce9652e9,1545,plus_monthly,2025-09-07T08:50:00,,9.99
ad026d0e,1550,pro_annual,2025-09-15T18:11:00,,6.99
042e9a25,1554,pro_annual,2025-09-06T05:53:00,,6.99
aa0724e9,1557,pro_annual,2025-09-10T04:43:00,,6.99
1d2e486b,1565,pro_annual,2025-09-14T09:44:00,2025-11-08T09:44:00,6.99
d1a3bafd,1594,pro_annual,2025-09-09T09:35:00,,6.99
f5942230,1606,pro_annual,2025-09-14T11:06:00,2025-10-21T11:06:00,6.99
d2194b04,1610,plus_monthly,2025-09-17T07:24:00,,9.99
7b91447a,1621,plus_monthly,2025-09-02T03:29:00,,9.99
3f652796,1624,plus_monthly,2025-09-18T17:10:00,,9.99
ed7ecd61,1636,plus_monthly,2025-09-04T01:55:00,2025-10-22T01:55:00,9.99
85882281,1642,plus_monthly,2025-09-06T16:43:00,,9.99
40319e6d,1652,pro_annual,2025-09-06T19:01:00,2025-11-10T19:01:00,6.99
931852f0,1662,pro_annual,2025-09-06T06:12:00,,6.99
e42d6586,1665,pro_annual,2025-09-19T02:46:00,,6.99
30c926d9,1679,plus_monthly,2025-09-17T04:01:00,,9.99
0fdc1647,1681,plus_monthly,2025-09-20T17:17:00,,9.99
bf02c386,1693,pro_annual,2025-09-06T11:37:00,2025-10-17T11:37:00,6.99
429f4683,1712,pro_annual,2025-09-06T22:55:00,,6.99
1af7bc50,1714,plus_monthly,2025-09-22T03:48:00,,9.99
07832499,1733,pro_annual,2025-09-18T20:06:00,,6.99
6e05d845,1736,plus_monthly,2025-09-19T06:37:00,,9.99
41b0a87d,1757,plus_monthly,2025-09-19T23:57:00,,9.99
a8ea8dda,1764,plus_monthly,2025-09-18T11:57:00,,9.99
