user_id,signup_ts,country,acquisition_channel,native_language,learning_language
1,2025-06-01T18:39:00,us,referral,English,Spanish
2,2025-06-01T04:05:00,JP,app_store,English,Italian
3,2025-06-01T17:47:00,UK,paid_search,English,Spanish
4,2025-06-01T08:10:00,br,social,English,German
5,2025-06-01T13:26:00,IN,organic,English,Spanish
6,2025-06-01T21:03:00,br,social,English,Italian
7,2025-06-01T18:42:00,DE,app_store,English,German
8,2025-06-01T16:46:00,IN,organic,English,German
9,2025-06-01T11:02:00,ES,organic,English,Italian
10,2025-06-01T22:44:00,JP,app_store,English,German
11,2025-06-01T21:22:00,FR,paid_search,English,Italian
12,2025-06-01T11:07:00,de,organic,English,German
13,2025-06-01T16:56:00,BR,referral,English,Japanese
14,2025-06-01T02:18:00,UK,referral,English,Italian
15,2025-06-01T09:53:00,IN,social,English,French
16,2025-06-02T03:49:00,JP,organic,English,French
17,2025-06-02T18:46:00,UK,social,English,French
18,2025-06-02T13:27:00,UK,organic,English,Japanese
19,2025-06-02T02:26:00,Pl,paid_search,English,English
20,2025-06-02T01:45:00,br,paid_search,English,Japanese
21,2025-06-02T13:47:00,US,organic,English,German
22,2025-06-02T23:12:00,ES,paid_search,English,English
23,2025-06-02T00:14:00,IN,organic,English,English
24,2025-06-02T22:17:00,pl ,paid_search,English,Japanese
25,2025-06-02T18:59:00,br,paid_search,English,German
26,2025-06-02T07:10:00,IN,organic,English,Spanish
27,2025-06-02T18:43:00, US,organic,English,German
28,2025-06-03T12:56:00,MX,social,English,Spanish
29,2025-06-03T10:09:00,ES,organic,English,German
30,2025-06-03T15:36:00,JP,organic,English,German
31,2025-06-03T02:20:00,FR,app_store,English,English
32,2025-06-03T16:27:00,ES,app_store,English,French
33,2025-06-03T18:15:00,Pl,paid_search,English,Italian
34,2025-06-03T01:05:00,pl ,paid_search,English,English
35,2025-06-03T04:43:00,GB,paid_search,English,Japanese
36,2025-06-03T11:51:00,DE,social,English,Italian
37,2025-06-03T10:18:00,JP,paid_search,English,Japanese
38,2025-06-03T15:37:00,US,paid_search,English,Italian
39,2025-06-03T04:29:00,US,organic,English,French
40,2025-06-04T02:10:00,JP,organic,English,Japanese
41,2025-06-04T22:59:00,pl ,organic,English,Japanese
42,2025-06-04T07:01:00,BR,paid_search,English,English
43,2025-06-04T18:03:00,ES,paid_search,English,Spanish
44,2025-06-04T11:26:00,JP,paid_search,English,English
45,2025-06-04T11:48:00,BR,organic,English,Japanese
46,2025-06-04T20:26:00,BR,referral,English,Spanish
47,2025-06-04T21:32:00,US,paid_search,English,French
48,2025-06-04T15:40:00,DE,social,English,French
49,2025-06-04T17:56:00,UK,organic,English,Japanese
50,2025-06-04T23:13:00,MX,organic,English,Spanish
51,2025-06-04T13:22:00,BR,referral,English,Italian
52,2025-06-05T07:12:00,MX,organic,English,English
53,2025-06-05T12:54:00,JP,app_store,English,French
54,2025-06-05T03:31:00,DE,paid_search,English,English
55,2025-06-05T03:53:00,MX,social,English,English
56,2025-06-05T05:53:00,IN,paid_search,English,German
57,2025-06-05T00:46:00,FR,social,English,German
58,2025-06-05T21:05:00,FR,social,English,German
59,2025-06-05T00:56:00,Pl,organic,English,French
60,2025-06-05T19:53:00,US,organic,English,German
61,2025-06-05T17:52:00,BR,organic,English,French
